Surface reelle bati,Nombre pieces principales,Type local,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
87.0,4.0,Appartement,1,"170280,00",66.0,RUE,BAYARD,59000.0,LILLE,1957.2413793103449,"66 RUE BAYARD, 59000 LILLE",50.6189422,3.0541706
94.0,4.0,Appartement,1,"346750,00",7.0,PL,DU MARECHAL LECLERC,59800.0,LILLE,3688.8297872340427,"7 PL DU MARECHAL LECLERC, 59800 LILLE",,
111.0,4.0,Appartement,2,"345000,00",18.0,BD,VAUBAN,59800.0,LILLE,3108.108108108108,"18 BD VAUBAN, 59800 LILLE",50.6347022,3.0486768
79.0,4.0,Appartement,1,"326500,00",18.0,ALL,DE LA HAYE DU TEMPLE,59160.0,LILLE,4132.911392405063,"18 ALL DE LA HAYE DU TEMPLE, 59160 LILLE",,
73.0,4.0,Appartement,2,"219610,00",242.0,RUE,DU FBG DE ROUBAIX,59800.0,LILLE,3008.3561643835615,"242 RUE DU FBG DE ROUBAIX, 59800 LILLE",,
165.0,4.0,Appartement,4,"663220,00",16.0,BD,JEAN BAPTISTE LEBAS,59000.0,LILLE,4019.5151515151515,"16 BD JEAN BAPTISTE LEBAS, 59000 LILLE",50.6273441,3.0682307
85.0,4.0,Appartement,2,"197500,00",697.0,AV,DE DUNKERQUE LOMME,59160.0,LILLE,2323.529411764706,"697 AV DE DUNKERQUE LOMME, 59160 LILLE",,
85.0,4.0,Appartement,2,"251550,00",2.0,RUE,DE L ORPHELINAT,59000.0,LILLE,2959.4117647058824,"2 RUE DE L ORPHELINAT, 59000 LILLE",50.6221277,3.032695
106.0,4.0,Appartement,1,"496028,00",40.0,RUE,DU FBG DE ROUBAIX,59800.0,LILLE,4679.509433962264,"40 RUE DU FBG DE ROUBAIX, 59800 LILLE",,
99.0,4.0,Appartement,2,"161000,00",12.0,RUE,DELEPLANQUE,59000.0,LILLE,1626.2626262626263,"12 RUE DELEPLANQUE, 59000 LILLE",50.6180462,3.024366
89.0,4.0,Appartement,1,"280900,00",2.0,RUE,JOSEPH BARA,59260.0,LILLE,3156.179775280899,"2 RUE JOSEPH BARA, 59260 LILLE",,
84.0,4.0,Appartement,1,"230000,00",579.0,AV,DU PRESIDENT HOOVER,59800.0,LILLE,2738.095238095238,"579 AV DU PRESIDENT HOOVER, 59800 LILLE",50.6264671,3.0800906
89.0,4.0,Appartement,1,"230000,00",579.0,AV,DU PRESIDENT HOOVER,59800.0,LILLE,2584.2696629213483,"579 AV DU PRESIDENT HOOVER, 59800 LILLE",50.6264671,3.0800906
116.0,4.0,Appartement,1,"455000,00",3.0,PL,RICHEBE,59800.0,LILLE,3922.4137931034484,"3 PL RICHEBE, 59800 LILLE",50.6323471,3.0624596
62.0,4.0,Appartement,2,"148100,00",53.0,RUE,DES SARRAZINS,59000.0,LILLE,2388.7096774193546,"53 RUE DES SARRAZINS, 59000 LILLE",50.6247765,3.0464994
74.0,4.0,Appartement,0,"505000,00",36.0,RUE,DE PUEBLA,59800.0,LILLE,6824.324324324324,"36 RUE DE PUEBLA, 59800 LILLE",,
89.0,4.0,Appartement,1,"398800,00",2.0,RUE,DE LA TRANQUILLITE,59800.0,LILLE,4480.898876404494,"2 RUE DE LA TRANQUILLITE, 59800 LILLE",50.6267193,3.0463628
78.0,4.0,Appartement,1,"163350,00",66.0,RUE,BAYARD,59000.0,LILLE,2094.230769230769,"66 RUE BAYARD, 59000 LILLE",,
90.0,4.0,Appartement,1,"50500,00",2.0,RUE,WATTEAU,59800.0,LILLE,561.1111111111111,"2 RUE WATTEAU, 59800 LILLE",50.6299602,3.0660666
81.0,4.0,Appartement,2,"257300,00",27.0,PL,DU MARECHAL LECLERC,59800.0,LILLE,3176.543209876543,"27 PL DU MARECHAL LECLERC, 59800 LILLE",,
85.0,4.0,Appartement,1,"315000,00",12.0,RUE,GEOFFROY ST HILAIRE,59000.0,LILLE,3705.8823529411766,"12 RUE GEOFFROY ST HILAIRE, 59000 LILLE",50.6235829,3.0626816
71.0,4.0,Appartement,2,"132000,00",5.0,ALL,JULES VERNE,59260.0,LILLE,1859.1549295774648,"5 ALL JULES VERNE, 59260 LILLE",50.583826,3.0370055
125.0,4.0,Appartement,0,"2050000,00",19.0,RUE,NICOLAS LEBLANC,59000.0,LILLE,16400.0,"19 RUE NICOLAS LEBLANC, 59000 LILLE",50.6296357,3.0614472
80.0,4.0,Appartement,8,"350000,00",198.0,RUE,COLBERT,59800.0,LILLE,4375.0,"198 RUE COLBERT, 59800 LILLE",,
80.0,4.0,Appartement,1,"281400,00",18.0,RUE,DE THUMESNIL,59000.0,LILLE,3517.5,"18 RUE DE THUMESNIL, 59000 LILLE",50.6198982,3.0670166
107.0,4.0,Appartement,1,"270000,00",250.0,RUE,MADELEINE REBERIOUX,59000.0,LILLE,2523.3644859813085,"250 RUE MADELEINE REBERIOUX, 59000 LILLE",50.6267445,3.0801349
87.0,4.0,Appartement,1,"269700,00",50.0,RUE,DE L ALMA,59800.0,LILLE,3100.0,"50 RUE DE L ALMA, 59800 LILLE",,
140.0,4.0,Appartement,2,"312000,00",234.0,RUE,ROGER SALENGRO,59260.0,LILLE,2228.5714285714284,"234 RUE ROGER SALENGRO, 59260 LILLE",50.6096985,3.086928
97.0,4.0,Appartement,2,"520000,00",92.0,RUE,ROYALE,59800.0,LILLE,5360.8247422680415,"92 RUE ROYALE, 59800 LILLE",50.6424389,3.0562581
90.0,4.0,Appartement,2,"382000,00",6.0,RUE,HENRI LOYER,59800.0,LILLE,4244.444444444444,"6 RUE HENRI LOYER, 59800 LILLE",50.6274167,3.0422856
75.0,4.0,Appartement,1,"255000,00",153.0,RUE,DE LA BASSEE,59000.0,LILLE,3400.0,"153 RUE DE LA BASSEE, 59000 LILLE",50.6243912,3.0329847
141.0,4.0,Appartement,2,"691100,00",56.0,BD,DE LA LIBERTE,59800.0,LILLE,4901.418439716312,"56 BD DE LA LIBERTE, 59800 LILLE",,
79.0,4.0,Appartement,1,"266730,00",43.0,RUE,PASCAL,59800.0,LILLE,3376.3291139240505,"43 RUE PASCAL, 59800 LILLE",50.639505,3.0838198
70.0,4.0,Appartement,2,"263950,00",37.0,RUE,BONTE POLLET,59000.0,LILLE,3770.714285714286,"37 RUE BONTE POLLET, 59000 LILLE",50.6255394,3.0334052
86.0,4.0,Appartement,1,"259290,00",10.0,RUE,SAINT LUC,59800.0,LILLE,3015.0,"10 RUE SAINT LUC, 59800 LILLE",,
77.0,4.0,Appartement,0,"2155000,00",21.0,RUE,EUGENE JACQUET,59800.0,LILLE,27987.012987012986,"21 RUE EUGENE JACQUET, 59800 LILLE",50.6377779,3.081569
