Surface reelle bati,Nombre pieces principales,Type local,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
28.0,1.0,Appartement,1,"91500,00",141.0,RUE,DES STATIONS,59800.0,LILLE,3267.8571428571427,"141 RUE DES STATIONS, 59800 LILLE",50.6277522,3.044883
100.0,4.0,Appartement,1,"389200,00",3.0,RUE,DESCHODT,59800.0,LILLE,3892.0,"3 RUE DESCHODT, 59800 LILLE",50.62556,3.044684
50.0,2.0,Appartement,2,"195000,00",120.0,RUE,DES STATIONS,59800.0,LILLE,3900.0,"120 RUE DES STATIONS, 59800 LILLE",50.625072,3.0400964
45.0,2.0,Appartement,1,"155000,00",47.0,RUE,MANUEL,59000.0,LILLE,3444.4444444444443,"47 RUE MANUEL, 59000 LILLE",50.6271043,3.0554135
49.0,2.0,Appartement,2,"182000,00",9.0,RUE,ERNEST DECONYNCK,59800.0,LILLE,3714.285714285714,"9 RUE ERNEST DECONYNCK, 59800 LILLE",50.6315892,3.0557052
24.0,1.0,Appartement,1,"90000,00",11.0,RUE,DU SABOT,59800.0,LILLE,3750.0,"11 RUE DU SABOT, 59800 LILLE",50.6327585,3.0404728
85.0,4.0,Appartement,1,"368587,00",84.0,RUE,BOUCHER DE PERTHES,59800.0,LILLE,4336.317647058823,"84 RUE BOUCHER DE PERTHES, 59800 LILLE",50.6331476,3.0544595
48.0,2.0,Appartement,1,"182000,00",16.0,RUE,OLYMPE DE GOUGES,59000.0,LILLE,3791.6666666666665,"16 RUE OLYMPE DE GOUGES, 59000 LILLE",50.6278728,3.0792093
44.0,2.0,Appartement,1,"246800,00",44.0,RUE,DE LA CASERNE ST RUTH,59800.0,LILLE,5609.090909090909,"44 RUE DE LA CASERNE ST RUTH, 59800 LILLE",50.6467046,3.0554058
15.0,1.0,Appartement,1,"50000,00",27.0,RUE,DU BAS JARDIN,59000.0,LILLE,3333.333333333333,"27 RUE DU BAS JARDIN, 59000 LILLE",50.6235125,3.066533
63.0,3.0,Appartement,1,"260000,00",35.0,RUE,DESCHODT,59800.0,LILLE,4126.984126984127,"35 RUE DESCHODT, 59800 LILLE",50.626542,3.0433549
70.0,3.0,Appartement,0,"137000,00",678.0,AV,DE DUNKERQUE LOMME,59160.0,LILLE,1957.142857142857,"678 AV DE DUNKERQUE LOMME, 59160 LILLE",50.6471375,3.0021464
48.0,3.0,Appartement,3,"175000,00",10.0,RUE,FOURMENTEL,59800.0,LILLE,3645.8333333333335,"10 RUE FOURMENTEL, 59800 LILLE",50.6497071,3.0880161
72.0,2.0,Appartement,1,"260000,00",23.0,RUE,ESQUERMOISE,59800.0,LILLE,3611.1111111111113,"23 RUE ESQUERMOISE, 59800 LILLE",50.6377023,3.0620526
